_id,IP_DST,TIMESTAMP_START,TIMESTAMP_END,STATUS,COUNT_PACKETS,SNIFF_TIMESTAMP_START,SNIFF_TIMESTAMP_START_MAX,SNIFF_TIMESTAMP_START_AVG,PACKET_TIMESTAMP_MIN,PACKET_TIMESTAMP_MAX,MONITORING_ENTER_TIME,MONITORING_TIME_BEFORE_BROADCAST,MONITORING_TIME_END,TIME_DIFF_SECONDS
682f3049242d9937eb5093b1,93.184.216.180,1747923000,1747923060,NOT DETECTED,1,1747923015.81249,1747923015812490,1747923015812490,1747923015462202,1747923015462202,1747923017.450037,1747923017.549661,1747923017.549756,1.7372660636901855
682f304f242d9937eb5099a2,34.197.194.114,1747923000,1747923060,NOT DETECTED,1,1747923022.191959,1747923022191959,1747923022191959,1747923021880439,1747923021880439,1747923023.53203,1747923023.631703,1747923023.631775,1.4398159980773926
682f304f242d9937eb5099a3,34.197.129.91,1747923000,1747923060,NOT DETECTED,1,1747923023.218603,1747923023218603,1747923023218603,1747923022880922,1747923022880922,1747923023.53207,1747923023.631703,1747923023.631775,0.41317200660705566
682f3051242d9937eb509a0c,62.138.155.102,1747923000,1747923060,NOT DETECTED,1,1747923025.262557,1747923025262557,1747923025262557,1747923024941579,1747923024941579,1747923025.573992,1747923025.673618,1747923025.673698,0.41114091873168945
682f305d242d9937eb509d81,157.240.2.35,1747923000,1747923060,NOT DETECTED,1,1747923036.534425,1747923036534425,1747923036534425,1747923036521684,1747923036521684,1747923037.637054,1747923037.736976,1747923037.73704,1.2026150226593018
682f305d242d9937eb509d82,31.13.80.12,1747923000,1747923060,NOT DETECTED,1,1747923036.533992,1747923036533992,1747923036533992,1747923036508459,1747923036508459,1747923037.637088,1747923037.736976,1747923037.73704,1.2030479907989502
682f305f242d9937eb509e03,199.59.148.11,1747923000,1747923060,NOT DETECTED,1,1747923037.550336,1747923037550336,1747923037550336,1747923036575319,1747923036575319,1747923039.663102,1747923039.762389,1747923039.762451,2.2121150493621826
682f3061242d9937eb509e52,62.138.155.102,1747923000,1747923060,NOT DETECTED,2,1747923025.262557,1747923040620911,1747923032941734,1747923024941579,1747923039611105,1747923041.735095,1747923041.834666,1747923041.834748,16.57219099998474
682f30a0242d9937eb50e514,192.0.79.33,1747923060,1747923120,NOT DETECTED,1,1747923102.916223,1747923102916223,1747923102916223,1747923102721392,1747923102721392,1747923103.963358,1747923104.06304,1747923104.063099,1.1468758583068848
682f30a8242d9937eb510cce,213.155.156.185,1747923060,1747923120,NOT DETECTED,1,1747923111.206634,1747923111206634,1747923111206634,1747923111012965,1747923111012965,1747923112.077815,1747923112.178235,1747923112.178318,0.9716839790344238
682f30a8242d9937eb510ccf,34.205.104.161,1747923060,1747923120,NOT DETECTED,1,1747923111.218401,1747923111218401,1747923111218401,1747923111103603,1747923111103603,1747923112.077862,1747923112.178235,1747923112.178318,0.9599170684814453
682f30a8242d9937eb510cd0,192.168.10.9,1747923060,1747923120,NOT DETECTED,1,1747923111.467728,1747923111467728,1747923111467728,1747923111215660,1747923111215660,1747923112.077885,1747923112.178235,1747923112.178318,0.710590124130249
