_id,IP_DST,TIMESTAMP_START,TIMESTAMP_END,STATUS,COUNT_PACKETS,SNIFF_TIMESTAMP_START,SNIFF_TIMESTAMP_START_MAX,SNIFF_TIMESTAMP_START_AVG,PACKET_TIMESTAMP_MIN,PACKET_TIMESTAMP_MAX,MONITORING_ENTER_TIME,MONITORING_TIME_BEFORE_BROADCAST,MONITORING_TIME_END,TIME_DIFF_SECONDS
682f0bb0699d8da6d32c59c3,172.16.0.1,1747913640,1747913700,NOT DETECTED,8,1747913646.975632,1747913646976517,1747913646976042,1747913646959109,1747913646959364,1747913648.307556,1747913648.407985,1747913648.708739,1.733107089996338
682f0bb3699d8da6d32c5b5a,172.16.0.1,1747913640,1747913700,DETECTED,208,1747913646.975632,1747913647012414,1747913646994108.2,1747913646959109,1747913646967254,1747913650.40026,1747913650.500069,1747913651.101465,4.125833034515381
682f0bb5699d8da6d32c5b5d,172.16.0.1,1747913640,1747913700,DETECTED,480,1747913646.975632,1747913647067094,1747913647020209.8,1747913646959109,1747913646977347,1747913652.435038,1747913652.534742,1747913653.135658,6.1600260734558105
682f0bb7699d8da6d32c5f4e,172.16.0.1,1747913640,1747913700,DETECTED,712,1747913646.975632,1747913647109737,1747913647042463.8,1747913646959109,1747913646986476,1747913654.478009,1747913654.57776,1747913655.178794,8.20316195487976
682f0bb9699d8da6d32c60f0,172.16.0.1,1747913640,1747913700,DETECTED,868,1747913646.975632,1747913647676321,1747913647076932.8,1747913646959109,1747913646992724,1747913656.489735,1747913656.589706,1747913657.18953,10.213897943496704
682f0bbd699d8da6d32c66dc,192.168.10.50,1747913640,1747913700,NOT DETECTED,5,1747913648.289891,1747913648295722,1747913648292463.8,1747913648274898,1747913648276395,1747913660.585771,1747913660.686473,1747913661.293776,13.00388503074646
682f0bbd699d8da6d32c66dd,172.16.0.1,1747913640,1747913700,DETECTED,1161,1747913646.975632,1747913648340996,1747913647389624.5,1747913646959109,1747913648286093,1747913660.585797,1747913660.686473,1747913661.293776,14.318144083023071
682f0bbf699d8da6d32c6776,172.16.0.1,1747913640,1747913700,DETECTED,1367,1747913646.975632,1747913648377192,1747913647535758.2,1747913646959109,1747913648293995,1747913662.610707,1747913662.711007,1747913663.313443,16.33781099319458
682f0bc1699d8da6d32c6779,172.16.0.1,1747913640,1747913700,DETECTED,1551,1747913646.975632,1747913648410831,1747913647637552.2,1747913646959109,1747913648301148,1747913664.623982,1747913664.725598,1747913665.328411,18.352779150009155
682f0bc3699d8da6d32c677d,172.16.0.1,1747913640,1747913700,DETECTED,1856,1747913646.975632,1747913648464602,1747913647768937,1747913646959109,1747913648313040,1747913666.711118,1747913666.810895,1747913667.410984,20.435352087020874
682f0bc5699d8da6d32c6796,192.82.242.50,1747913640,1747913700,NOT DETECTED,11,1747913649.097929,1747913649614946,1747913649451378.5,1747913648930814,1747913649513966,1747913668.727599,1747913668.827904,1747913669.429008,20.33107900619507
682f0bc5699d8da6d32c6797,162.248.16.28,1747913640,1747913700,NOT DETECTED,1,1747913649.616716,1747913649616716,1747913649616716,1747913649576393,1747913649576393,1747913668.727645,1747913668.827904,1747913669.429008,19.812292098999023
682f0bc5699d8da6d32c6798,192.168.10.50,1747913640,1747913700,NOT DETECTED,14,1747913648.289891,1747913649622080,1747913649140479.5,1747913648274898,1747913649587929,1747913668.727661,1747913668.827904,1747913669.429008,21.139117002487183
